,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,8,,T,W,O,,B,I,T,,,,,,8,,H,A,L,F,,A,D,D,E,R,,,8,,F,A,K,E,,X,O,R,,,,8,,2
,,,,,A,D,D,E,R,,,,,,,,,,2,,,,,5,,,2,,,,,,,,,,,,,,,,,,
3,,7,,,,,,,,,,,,3,,7,,2,,,1,,,,,1,,,,6,,,,,,5,,,,,,,7,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,6,,,,,,,,,,,,,,8,,,3,,,,2,,2,,3,,,8,,2,,,,,2,,5,,5,,6,,12
,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,1,,2,,,,,
3,,7,,,,,,,,,,,,3,,7,,2,,2,,,,,,2,,,,7,,,,,,,2,,2,,5,,7,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,A,L,F,,,,,,,,,,
2,,8,,,6,S,W,A,P,,,,,,,6,,,,,,,,,,,,2,,8,,A,D,D,E,R,,3,,,5,,8,,2
,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,3,,4,,,3,,,,,
3,,7,,3,,,,3,,,,,,,,6,,,1,,2,,5,,5,,,,,7,,2,,,,1,,1,,,2,,,,
,,,,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,,,,
11,,4,,,4,,,5,,,,,,2,,6,,,,,,,,,,,,2,,8,,,3,,,,,2,,,,,,,
,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,1,,,,2,,,7,,,7,,3,,4,,,,,,,,,,7,,2,,2,,,,,,,,,,,
,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,5,,,,,
2,,8,,2,,,2,,4,,,1,,2,,8,,H,A,L,F,,A,D,D,E,R,,,6,,,,,,,,,,,2,,8,,2
,,,,,,4,,2,,,1,,,,,,,,2,,,,,5,,,2,,,,,,,3,,,,,,,,,,,
3,,7,,,3,,,,,,,,,3,,7,,2,,,1,,,,,1,,2,,6,,,1,,,,,,,3,,,7,,3
,,,,,,,3,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,6,,,,4,,,,,,2,,5,,8,,,3,,,,2,,2,,3,,,6,,,,,,,,,,,2,,6,,12
,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
3,,7,,,,,3,,,,2,,,,,7,,2,,2,,,,,,2,,3,,7,,3,,4,,,,,,,3,,7,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,8,,,,,,,,6,,,,,,6,,,,,,,,,,,,2,,8,,,,,,,,,,,,,8,,2
,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
3,,7,,,,,,,,,,,,3,,6,,,1,,2,,5,,5,,,,,7,,,,,,,,,,,,,7,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,6,,,,,,,,,,,,,,6,,,,,,,,,,,,2,,8,,,,,,,,,,,,,6,,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,7,,,,,,,,,,,,3,,7,,3,,4,,,,,,,,,,7,,,,,,,,,,,,,7,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,8,,,,,,,,,,,,,,8,,,,,,,,,,,,,,8,,,,,,,,,,,,,8,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,
