,,,,,,,,,,,,,,,,,,,3,,12,,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,3,,2,,3,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,8,,,,,,,,,,,,,,,,,6,,8,,7,,,,,,,8,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,7,,,,,,,,,,,,,,,,2,,,3,,,3,,3,,,,7,,3
,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,
11,,6,,,,,,,,,,,,,,,,,,,4,,,5,,,,,,6,,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
