,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,2
,,,,,,3,,3,,3,,5,,,4,,,5,,,,,,,,,,2,,,,
3,,7,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,3
,,,,,,,,1,,,,5,,,,,,3,,,,,,,,,,,,,,
11,,6,,5,,3,,,,,,,,,,,2,,,3,,,3,,,,,3,,6,,12
,,,,,,,,,,,,3,,,,2,,,1,,,,,,,,,,,,,
3,,7,,,,,,,,,,,,,,,4,,,,,,5,,4,,4,,,7,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,8,,,,,,,,,,,,,,,6,,6,,4,,7,,,,,,,8,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,3,,11,,3,,,,,,,2,,
