,,2,,,,,,,,,,,,,2,,,,3,,12,,3,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,8,,F,U,L,L,,A,D,D,E,R,,8,,,,7,,6,,7,,,,,,8,,2
,,,,,2,,,,,5,,,2,,,,,,,,,,,,,,,,,,
3,,7,,2,,,1,,,,,1,,,6,,,,5,,2,,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,
11,,6,,,3,,,,2,,2,,3,,8,,,,4,,1,,3,,,3,,,,,
,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
3,,7,,2,,2,,,,,,4,,,5,,,,,2,,3,,5,,3,,,,,
,,,,,,,,,,,,,,4,,4,,2,,,,,1,,3,,3,,,,
2,,6,,,,,,,,,,,,,2,,3,,4,,3,,,2,,,,,6,,2
,,,,,,3,,,,,,4,,4,,2,,,,2,,,,,3,,,,,,
3,,6,,,1,,2,,7,,7,,,,3,,,,,,,,,,,,3,,7,,3
,,,,,,,,,,,,,,,,,2,,,5,,,4,,3,,,,,,
11,,4,,,,,,,4,,,,,,,,,2,,,,,,,,5,,,6,,12
,,,,,,,,,,,4,,,,,4,,,1,,,,,,,,,,,,
3,,7,,3,,4,,,5,,,3,,,5,,,2,,,,,3,,,4,,,7,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,8,,,,,,,,,,,,,8,,,,6,,6,,7,,,,,,8,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,2,,,,5,,6,,5,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3,,11,,3,,,,,,,,
